time,players,tidi,tidi_fastavg,tidi_avg,tidi_slowavg,maptick,num_timers,air_turf_cost,air_eg_cost,air_highpressure_cost,air_hotspots_cost,air_superconductivity_cost,air_pipenets_cost,air_rebuilds_cost,air_turf_count,air_eg_count,air_hotspot_count,air_network_count,air_delta_count,air_superconductive_count,all_queries,queries_active,queries_standby,send_maps,send_maps_count,initial_house,initial_house_count,cleanup,cleanup_count,client_loop,client_loop_count,per_client,per_client_count,deleted_images,deleted_images_count,hud_update,hud_update_count,statpanel_update,statpanel_update_count,map_data,map_data_count,check_eye_pos,check_eye_pos_count,update_chunks,update_chunks_count,turfmap_updates,turfmap_updates_count,changed_turfs,changed_turfs_count,turf_chunk_info,turf_chunk_info_count,obj_changes,obj_changes_count,mob_changes,mob_changes_count,send_turf_vis_conts,send_turf_vis_conts_count,pending_animations,pending_animations_count,look_for_movable_changes,look_for_movable_changes_count,check_turf_vis_conts,check_turf_vis_conts_count,check_hud/image_vis_contents,check_hud/image_vis_contents_count,turfs_in_range,turfs_in_range_count,movables_examined,movables_examined_count
608.5,1,0,0,0,0,0.410645,471,0,0,0,0,0,0,0,1619,0,0,317,0,0,3,0,0,0.17734,889,0.0219815,889,0.005402,889,0.149889,889,0,0,9.23e-05,889,0.0010523,62,0.0005519,111,0.0024496,889,0.000337,889,0.001194,889,0,0,0.0001021,3,0.000562,889,0.0083938,889,0.0088713,889,0.0003444,889,8.7e-05,889,0.0236494,889,0,0,0.0204342,889,0.0026442,889,87950,889
708.5,1,17,5.1,1.02,0.102,0.332306,0,0,0,0,0,0,0,0,2556,0,0,317,0,0,0,0,0,0.211007,1089,0.0229838,1089,0.0066572,1089,0.181285,1089,0,0,0.0001099,1089,0.0012633,75,0.0006763,136,0.0030471,1089,0.0004077,1089,0.0014517,1089,0,0,0.0001021,3,0.0007213,1089,0.008658,1089,0.0108294,1089,0.0004199,1089,0.0001085,1089,0.0289542,1089,0,0,0.0249777,1089,0.0032748,1089,106977,1089
808.5,1,25,11.07,3.03,0.3948,0.340797,0,0,0,0,0,0,0,0,2556,0,0,317,0,0,0,0,0,0.243215,1289,0.0231243,1289,0.0078963,1289,0.212096,1289,0,0,0.0001309,1289,0.0014596,88,0.0007992,161,0.0036486,1289,0.0004754,1289,0.0017136,1289,0,0,0.0001021,3,0.0008503,1289,0.0087941,1289,0.01286,1289,0.0004948,1289,0.0001279,1289,0.0343336,1289,0,0,0.029559,1289,0.0039334,1289,125977,1289
908.5,1,29,16.449,5.7138,0.9267,0.327042,0,0,0,0,0,0,0,0,2556,0,0,317,0,0,0,0,0,0.276133,1489,0.0232645,1489,0.009244,1489,0.243508,1489,0,0,0.0001474,1489,0.0016552,100,0.0009256,186,0.0042676,1489,0.0005429,1489,0.0019713,1489,0,0,0.0001021,3,0.0009829,1489,0.0089287,1489,0.0149061,1489,0.0005673,1489,0.0001477,1489,0.0398879,1489,0,0,0.034329,1489,0.0045791,1489,144977,1489
1008.5,1,31,20.8143,8.7339,1.70742,0.30983,0,0,0,0,0,0,0,0,2556,0,0,317,0,0,0,0,0,0.309328,1689,0.0234222,1689,0.0105876,1689,0.275186,1689,0,0,0.0001677,1689,0.0018657,113,0.0010526,211,0.004893,1689,0.0006132,1689,0.0022329,1689,0,0,0.0001021,3,0.001116,1689,0.0090981,1689,0.0169776,1689,0.0006467,1689,0.0001671,1689,0.0456737,1689,0,0,0.0393182,1689,0.0052341,1689,163977,1689
1108.5,1,19,20.27,11.0411,2.64079,0.408226,0,0,0,0,0,0,0,0,2556,0,0,317,0,0,0,0,0,0.342635,1889,0.0235826,1889,0.0118978,1889,0.307005,1889,0,0,0.0001886,1889,0.0020549,125,0.0011856,236,0.0055193,1889,0.0006891,1889,0.0025055,1889,0,0,0.0001021,3,0.0012479,1889,0.0092436,1889,0.0190395,1889,0.0007289,1889,0.0001883,1889,0.0512305,1889,0,0,0.0440631,1889,0.0059055,1889,182977,1889
1208.5,1,15,18.689,12.5707,3.63378,0.365982,0,0,0,0,0,0,0,0,2556,0,0,317,0,0,0,0,0,0.379016,2089,0.0237658,2089,0.0133119,2089,0.341771,2089,0,0,0.0002086,2089,0.002429,143,0.0013212,261,0.0062002,2089,0.000777,2089,0.0028162,2089,0,0,0.0001021,3,0.0013991,2089,0.0094749,2089,0.0212494,2089,0.000814,2089,0.0002072,2089,0.0574373,2089,0,0,0.0493814,2089,0.0066429,2089,202253,2089
1308.5,1,385,128.582,35.773,6.84771,0.538704,0,0,0,0,0,0,0,0,2556,0,0,317,0,0,0,0,0,0.431766,2289,0.0239495,2289,0.0147922,2289,0.392838,2289,0,0,0.0002304,2289,0.0085893,158,0.0014616,286,0.0068995,2289,0.0008632,2289,0.0031191,2289,0,0,0.0001021,3,0.0015493,2289,0.0108344,2289,0.0235381,2289,0.0008975,2289,0.0008044,2289,0.0730692,2289,0,0,0.0639434,2289,0.0073701,2289,283205,2289
1408.5,1,12,93.6076,47.3399,10.8969,0.571404,0,0,0,0,0,0,0,0,2556,0,0,317,0,0,0,0,0,0.484465,2489,0.0241147,2489,0.0162529,2489,0.443897,2489,0,0,0.0002512,2489,0.0115041,179,0.0015805,311,0.0075287,2489,0.0009527,2489,0.0034142,2489,0,0,0.0001021,3,0.0016818,2489,0.0114,2489,0.0256077,2489,0.0009787,2489,0.0009463,2489,0.0938875,2489,0,0,0.0835967,2489,0.0080598,2489,406399,2489
1508.5,1,0,65.5253,50.977,14.9049,0.46283,0,0,0,0,0,0,0,0,2556,0,0,317,0,0,0,0,0,0.534678,2689,0.02427,2689,0.017487,2689,0.492706,2689,0,0,0.000271,2689,0.0127973,193,0.0016873,336,0.0080912,2689,0.0010327,2689,0.0037041,2689,0,0,0.0001021,3,0.0018058,2689,0.0116245,2689,0.0276686,2689,0.0010676,2689,0.0009781,2689,0.11611,2689,0,0,0.104617,2689,0.008725,2689,541709,2689
1608.5,1,1,46.1677,50.0152,18.416,0.523854,0,0,0,0,0,0,0,0,2556,0,0,317,0,0,0,0,0,0.585988,2889,0.0244298,2889,0.0186544,2889,0.542671,2889,0,0,0.0002915,2889,0.0152023,210,0.0017919,361,0.0086586,2889,0.0011137,2889,0.0040004,2889,0,0,0.0001021,3,0.0019333,2889,0.0120558,2889,0.029624,2889,0.0011483,2889,0.0011134,2889,0.138298,2889,0,0,0.12561,2889,0.0093895,2889,677203,2889
1708.5,1,0,32.3174,46.4756,21.2219,0.486355,0,0,0,0,0,0,0,0,2556,0,0,317,0,0,0,0,0,0.637204,3089,0.0245912,3089,0.0199764,3089,0.592376,3089,0,0,0.0003107,3089,0.0165806,225,0.0019029,386,0.0092249,3089,0.001195,3089,0.0042967,3089,0,0,0.0001021,3,0.0020596,3089,0.0122985,3089,0.0316418,3089,0.0012341,3089,0.001134,3089,0.161234,3089,0,0,0.147324,3089,0.0100494,3089,814603,3089
1808.5,1,0,22.6222,41.7049,23.2702,0.493404,0,0,0,0,0,0,0,0,2556,0,0,317,0,0,0,0,0,0.686976,3289,0.0247504,3289,0.0212293,3289,0.640723,3289,0,0,0.0003299,3288,0.0175727,238,0.0020081,411,0.0097942,3288,0.0012741,3288,0.0045914,3288,0,0,0.0001021,3,0.002183,3288,0.0124323,3288,0.0336163,3288,0.0013192,3288,0.0011543,3288,0.184024,3288,0,0,0.168918,3288,0.0107009,3288,951316,3288
1908.5,1,1,16.1355,36.591,24.6023,0.483668,0,0,0,0,0,0,0,0,2556,0,0,317,0,0,0,0,0,0.737357,3489,0.0249081,3489,0.0223753,3489,0.689779,3489,0,0,0.0003495,3488,0.0186564,252,0.0021112,436,0.0103535,3488,0.0013528,3488,0.0048931,3488,0,0,0.0001021,3,0.0023103,3488,0.0126006,3488,0.0356425,3488,0.0014013,3488,0.0011752,3488,0.206948,3488,0,0,0.190627,3488,0.0113608,3488,1088716,3488
