time,players,tidi,tidi_fastavg,tidi_avg,tidi_slowavg,maptick,num_timers,air_turf_cost,air_eg_cost,air_highpressure_cost,air_hotspots_cost,air_superconductivity_cost,air_pipenets_cost,air_rebuilds_cost,air_turf_count,air_eg_count,air_hotspot_count,air_network_count,air_delta_count,air_superconductive_count,all_queries,queries_active,queries_standby,send_maps,send_maps_count,initial_house,initial_house_count,cleanup,cleanup_count,client_loop,client_loop_count,per_client,per_client_count,deleted_images,deleted_images_count,hud_update,hud_update_count,statpanel_update,statpanel_update_count,map_data,map_data_count,check_eye_pos,check_eye_pos_count,update_chunks,update_chunks_count,turfmap_updates,turfmap_updates_count,changed_turfs,changed_turfs_count,turf_chunk_info,turf_chunk_info_count,obj_changes,obj_changes_count,mob_changes,mob_changes_count,send_turf_vis_conts,send_turf_vis_conts_count,pending_animations,pending_animations_count,look_for_movable_changes,look_for_movable_changes_count,check_turf_vis_conts,check_turf_vis_conts_count,check_hud/image_vis_contents,check_hud/image_vis_contents_count,turfs_in_range,turfs_in_range_count,movables_examined,movables_examined_count
540.5,1,0,0,0,0,0.455658,471,0,0,0,0,0,0,0,1651,0,0,317,0,0,4,0,0,0.105888,898,0.0209547,898,0.0058586,898,0.0789967,898,0,0,7.86e-05,708,0.0014911,49,0.0003969,90,0.0014179,708,0.0002691,708,0.0005391,359,0.0001155,2,0,0,0.0005034,706,0.0037461,708,0.0043418,708,0.0004661,708,0.0003293,708,0.016143,708,0,0,0.0144033,708,0.0011363,359,77647,708
640.5,1,370,111,22.2,2.22,0.430092,0,0,0,0,0,0,0,0,2078,0,0,317,0,0,0,0,0,0.150452,1098,0.022007,1098,0.0071246,1098,0.121229,1098,0,0,0.0001042,908,0.0033413,63,0.0005168,115,0.0020113,908,0.0003931,908,0.0007803,559,0.0001155,2,0,0,0.0006367,906,0.0042793,908,0.0065188,908,0.0005438,908,0.0004773,908,0.0298321,908,0,0,0.0271827,908,0.0017374,559,152436,908
740.5,1,11,81,33.96,5.394,0.375076,0,0,0,0,0,0,0,0,2078,0,0,317,0,0,0,0,0,0.189691,1298,0.0221317,1298,0.008336,1298,0.159118,1298,0,0,0.0001266,1108,0.0039192,76,0.0006325,140,0.0025729,1108,0.0004562,1108,0.0009953,759,0.0001155,2,0,0,0.0007567,1106,0.0044092,1108,0.0084555,1108,0.0006134,1108,0.0004944,1108,0.0427424,1108,0,0,0.0392367,1108,0.0022809,759,233436,1108
840.5,1,46,70.5,41.268,8.9814,0.384514,0,0,0,0,0,0,0,0,2078,0,0,317,0,0,0,0,0,0.229965,1498,0.0222666,1498,0.0094603,1498,0.19812,1498,0,0,0.0001452,1308,0.0044393,88,0.0007575,165,0.0031813,1308,0.0005243,1308,0.0012373,959,0.0001155,2,0,0,0.0008886,1306,0.0045447,1308,0.0105116,1308,0.0006837,1308,0.0005113,1308,0.0563406,1308,0,0,0.0519425,1308,0.0028598,959,314436,1308
940.5,1,19,55.05,44.0244,12.4857,0.357147,0,0,0,0,0,0,0,0,2078,0,0,317,0,0,0,0,0,0.269005,1698,0.0223951,1698,0.0105488,1698,0.235929,1698,0,0,0.0001632,1508,0.0049924,101,0.0008744,190,0.0037573,1508,0.00059,1508,0.0014547,1159,0.0001155,2,0,0,0.0010103,1506,0.0046817,1508,0.0124127,1508,0.0007588,1508,0.0005299,1508,0.0694744,1508,0,0,0.0642243,1508,0.0034123,1159,395436,1508
1040.5,1,13,42.435,43.7065,15.6078,0.425156,0,0,0,0,0,0,0,0,2078,0,0,317,0,0,0,0,0,0.308773,1898,0.0225364,1898,0.0116459,1898,0.274446,1898,0,0,0.0001824,1706,0.0058209,117,0.0009837,214,0.0043381,1706,0.0006569,1706,0.0016842,1357,0.0001155,2,0,0,0.0011364,1704,0.0049079,1706,0.0142947,1706,0.0008374,1706,0.0005457,1706,0.0824802,1706,0,0,0.0763862,1706,0.0039616,1357,475626,1706
1140.5,1,7,31.8045,41.3261,18.1796,0.442413,0,0,0,0,0,0,0,0,2078,0,0,317,0,0,0,0,0,0.349493,2098,0.0226866,2098,0.0127757,2098,0.313875,2098,0,0,0.0001996,1906,0.0064674,131,0.0011079,239,0.0049386,1906,0.0007317,1906,0.001921,1557,0.0001155,2,0,0,0.0012684,1904,0.0050653,1906,0.0162908,1906,0.0009157,1906,0.0005614,1906,0.095676,1906,0,0,0.0887117,1906,0.0045229,1557,556626,1906
1240.5,1,5,23.7632,37.8135,20.143,0.445666,0,0,0,0,0,0,0,0,2078,0,0,317,0,0,0,0,0,0.394446,2298,0.0228755,2298,0.0142543,2298,0.357147,2298,0,0,0.0002211,2106,0.0069986,143,0.0012331,264,0.0056044,2106,0.000819,2106,0.0022931,1757,0.0001155,2,0,0,0.0014115,2104,0.0052145,2106,0.0184709,2106,0.0009949,2106,0.0005797,2106,0.110566,2106,0,0,0.102643,2106,0.005147,1757,637626,2106
1340.5,1,0,16.6342,33.5777,21.4865,0.393465,0,0,0,0,0,0,0,0,2078,0,0,317,0,0,0,0,0,0.436353,2498,0.0230366,2498,0.0153305,2498,0.397795,2498,0,0,0.0002428,2306,0.0080896,162,0.0013459,289,0.0061947,2306,0.000902,2306,0.0025979,1957,0.0001155,2,0,0,0.0015452,2304,0.0054503,2306,0.0204397,2306,0.0010751,2306,0.0006005,2306,0.125165,2306,0,0,0.116251,2306,0.0057907,1957,718626,2306
1440.5,1,1,11.9439,29.2509,22.2629,0.407152,0,0,0,0,0,0,0,0,2078,0,0,317,0,0,0,0,0,0.477692,2698,0.0231954,2698,0.0165304,2698,0.437759,2698,0,0,0.0002654,2506,0.0087331,175,0.0014484,314,0.0067963,2506,0.0009852,2506,0.002899,2157,0.0001155,2,0,0,0.0016814,2504,0.0056058,2506,0.0224612,2506,0.0011593,2506,0.0006214,2506,0.140056,2506,0,0,0.130128,2506,0.0064388,2157,799626,2506
1540.5,1,0,8.36076,25.0729,22.5439,0.444452,0,0,0,0,0,0,0,0,2078,0,0,317,0,0,0,0,0,0.521053,2898,0.023384,2898,0.0179882,2898,0.479456,2898,0,0,0.0002889,2706,0.0093988,188,0.0015591,339,0.0074657,2706,0.001075,2706,0.0032161,2357,0.0001155,2,0,0,0.0018243,2704,0.0057577,2706,0.0246198,2706,0.0012489,2706,0.000643,2706,0.15581,2706,0,0,0.144807,2706,0.0071305,2357,880626,2706
