time,players,tidi,tidi_fastavg,tidi_avg,tidi_slowavg,maptick,num_timers,air_turf_cost,air_eg_cost,air_highpressure_cost,air_hotspots_cost,air_superconductivity_cost,air_pipenets_cost,air_rebuilds_cost,air_turf_count,air_eg_count,air_hotspot_count,air_network_count,air_delta_count,air_superconductive_count,all_queries,queries_active,queries_standby,send_maps,send_maps_count,initial_house,initial_house_count,cleanup,cleanup_count,client_loop,client_loop_count,per_client,per_client_count,deleted_images,deleted_images_count,hud_update,hud_update_count,statpanel_update,statpanel_update_count,map_data,map_data_count,check_eye_pos,check_eye_pos_count,update_chunks,update_chunks_count,turfmap_updates,turfmap_updates_count,changed_turfs,changed_turfs_count,turf_chunk_info,turf_chunk_info_count,obj_changes,obj_changes_count,mob_changes,mob_changes_count,send_turf_vis_conts,send_turf_vis_conts_count,pending_animations,pending_animations_count,look_for_movable_changes,look_for_movable_changes_count,check_turf_vis_conts,check_turf_vis_conts_count,check_hud/image_vis_contents,check_hud/image_vis_contents_count,turfs_in_range,turfs_in_range_count,movables_examined,movables_examined_count
547.5,1,0,0,0,0,0.463593,153,0,0,0,0,0,0,0,4355,0,0,320,0,0,4,0,0,0.189365,924,0.0279887,924,0.0137714,924,0.147487,924,0,0,0.0001106,903,0.0011201,58,0.0005705,112,0.0023363,903,0.0004399,903,0.0011217,843,0.0001206,2,7.48e-05,3,0.0005761,901,0.0113987,903,0.0083336,903,0.0003762,903,0.0001121,903,0.0226336,903,0,0,0.0196579,903,0.002425,843,73357,903
647.5,1,9,2.7,0.54,0.054,0.338631,0,0,0,0,0,0,0,0,4330,0,0,320,0,0,0,0,0,0.227393,1124,0.0293384,1124,0.017413,1124,0.180504,1124,0,0,0.000129,1103,0.0013338,72,0.0007031,137,0.0029285,1103,0.0005155,1103,0.0014235,1043,0.0001206,2,7.48e-05,3,0.0007058,1101,0.0117293,1103,0.0103541,1103,0.0004614,1103,0.0001332,1103,0.0290654,1103,0,0,0.0253186,1103,0.0030555,1043,89985,1103
747.5,1,395,120.39,24.51,2.4996,0.392319,0,0,0,0,0,0,0,0,4330,0,0,320,0,0,0,0,0,0.265543,1324,0.0294726,1324,0.0204634,1324,0.21545,1324,0,0,0.0001478,1303,0.002278,85,0.0008329,162,0.0035454,1303,0.00059,1303,0.0016783,1243,0.0001206,2,7.48e-05,3,0.0008304,1301,0.0119252,1303,0.0123686,1303,0.0005418,1303,0.0001549,1303,0.0372963,1303,0,0,0.0327559,1303,0.0036709,1243,118825,1303
847.5,1,25,91.773,37.9626,6.0459,0.384254,0,0,0,0,0,0,0,0,4330,0,0,320,0,0,0,0,0,0.305195,1524,0.0296071,1524,0.0241426,1524,0.251264,1524,0,0,0.0001666,1503,0.0030815,101,0.00096,187,0.0041509,1503,0.000662,1503,0.001917,1443,0.0001206,2,7.48e-05,3,0.0009572,1501,0.0121157,1503,0.0144274,1503,0.0006168,1503,0.0001793,1503,0.0461097,1503,0,0,0.0407828,1503,0.004276,1443,149825,1503
947.5,1,55,80.7411,46.5183,10.0931,0.493408,0,0,0,0,0,0,0,0,4330,0,0,320,0,0,0,0,0,0.344364,1724,0.029757,1724,0.027743,1724,0.286648,1724,0,0,0.0001878,1703,0.004073,118,0.0010926,212,0.0047567,1703,0.0007356,1703,0.0022144,1643,0.0001206,2,7.48e-05,3,0.0010833,1701,0.0124033,1703,0.0164924,1703,0.000693,1703,0.0002138,1703,0.0545767,1703,0,0,0.0484478,1703,0.0049029,1643,179203,1703
1047.5,1,10,59.5188,49.1184,13.9957,0.456429,0,0,0,0,0,0,0,0,4383,0,0,320,0,0,0,0,0,0.385878,1924,0.0299896,1924,0.0322265,1924,0.32337,1924,0,0,0.0002115,1903,0.0047264,135,0.0012321,237,0.0054016,1903,0.0008185,1903,0.0024732,1843,0.0001206,2,7.48e-05,3,0.0012148,1901,0.0125905,1903,0.0186275,1903,0.0007837,1903,0.0002363,1903,0.0636901,1903,0,0,0.0567267,1903,0.0055493,1843,210203,1903
1147.5,1,23,48.5631,49.0073,17.4968,0.462387,17,0,0,0,0,0,0.000659943,0,4982,2,0,320,0,0,0,0,0,0.428741,2124,0.0310123,2124,0.0362478,2124,0.361167,2124,0,0,0.0002336,2103,0.0058931,152,0.0013801,262,0.0060209,2103,0.000901,2103,0.002761,2043,0.0001206,2,7.48e-05,3,0.0013595,2101,0.0128998,2103,0.0209006,2103,0.000881,2103,0.0002702,2103,0.0719576,2103,0,0,0.0641822,2103,0.0061979,2043,233110,2103
1247.5,1,27,42.0942,47.6247,20.5096,0.442818,17,0,0,0,0,0,0.000659943,0,4970,2,0,320,0,0,0,0,0,0.472807,2324,0.0313487,2324,0.0401424,2324,0.400969,2324,0,0,0.000254,2303,0.0063431,166,0.0015228,287,0.0066874,2303,0.0009891,2303,0.0030335,2243,0.0001206,2,7.48e-05,3,0.0015239,2301,0.013106,2303,0.0230769,2303,0.0009643,2303,0.00029,2303,0.0831335,2303,0,0,0.0745096,2303,0.0068404,2243,264113,2303
1347.5,1,28,37.8659,45.673,23.026,1.05791,17,0,0,0,0,0,0.000659943,0,4930,2,0,320,0,0,0,0,0,0.535108,2524,0.0316516,2524,0.043828,2524,0.459259,2524,0,0,0.0002745,2503,0.007035,182,0.0016836,312,0.0073294,2503,0.001074,2503,0.0033109,2443,0.0095398,3,7.48e-05,3,0.0016573,2500,0.0167944,2503,0.0255794,2503,0.0010451,2503,0.0003326,2503,0.0992346,2503,0,0,0.083205,2503,0.0140239,2443,309309,2503
1447.5,1,14,30.7062,42.6796,24.9913,1.36401,17,45.1009,0.384741,2.39636,0.00497268,0.00510092,17.5133,0,321,29,0,320,0,0,0,0,0,0.672845,2724,0.0322603,2724,0.0475562,2724,0.592628,2724,0,0,0.0002953,2703,0.0109164,253,0.0018499,337,0.0079167,2703,0.0011656,2703,0.0036664,2643,0.0254856,14,7.48e-05,3,0.0017766,2682,0.0348461,2703,0.028239,2703,0.0011419,2703,0.0022576,2703,0.163619,2703,0,0,0.0994299,2703,0.0616538,2643,510670,2703
